user_id,age,gender,education_level,education_field
A10249252O9I20MRSOBVF,58,female,Secondary education,General
A10HW8JXM17XLD,42,female,Bachelor's degree,Nursing
A10TYO0H3GLCH6,34,female,Bachelor's degree,General
A125AOX978LDG7,38,female,Bachelor's degree,Education
A12NO2MNOIREXA,43,male,Bachelor's degree,Computer Information Systems
A12TFFS6M9TOVF,30,male,GED,Computer Science
A13FUEPWBCLBUY,38,male,Master's degree,Public Affairs and Policy Management
A14E0Y5HPALKZN,35,female,Secondary education,General
A14OT0A0N057FL,33,female,Secondary education,General
A14WLAP6TCEKO0,37,male,Bachelor's degree,Information Technology
A150MDVC0C92OT,39,male,Vocational qualification,Computer Applications
A157L6Z8QU3SDE,33,male,Bachelor's degree,Computer Science
A159LFRJ2JUSHD,31,male,Bachelor's degree,Engineering
A15VCKELIEEPJN,51,male,Master's degree,Religion
A16K7X677N4WN6,35,male,Doctorate or higher,Engineering
A16OE8ECS5IXV7,31,male,Bachelor's degree,International Relations
A16XDO6MW9ZKMI,28,male,Bachelor's degree,Veterinary Technology
A17839165C8E9S,32,female,Master's degree,Marketing
A183WYXN12P2TJ,40,male,Bachelor's degree,Computer Information Systems
A187JK1IGZGHNQ,41,male,Bachelor's degree,Architecture
A19UED74G8FXN3,30,male,Vocational qualification,Construction Technology
A1ANE1156DB9C8,33,female,Bachelor's degree,Pharmacy
A1APUWC5IMC5NV,43,female,Vocational qualification,Fine Arts
A1AZ97YYFVWFGC,35,male,Secondary education,Information Systems
A1BIJGB7XA0GME,55,female,Vocational qualification,Business Administration
A1CH3TODZNQCES,32,male,Bachelor's degree,Business Administration
A1CPY1HLCFTIL1,30,male,Bachelor's degree,Marketing
A1D0JL4MJ7XSGV,31,male,Bachelor's degree,Computer Information Systems
A1DCG37N0Y8BN0,24,male,Secondary education,Economics
A1DD23J1WBGQUU,40,female,Bachelor's degree,Marketing
A1DUPOUC9RNU4L,60,female,Vocational qualification,Pharmacy
A1DXGBSF4E3WTI,37,male,Bachelor's degree,Education
A1F1TBDHPYAAXT,72,male,Bachelor's degree,Chemistry
A1F5E941TP0UIZ,50,female,Secondary education,Business Administration
A1GD5VPYDUBQ3I,54,female,Master's degree,Computer Information Systems
A1GKD3NG1NNHRP,61,female,Vocational qualification,Business Administration
A1GRLZL4F72RBJ,47,male,Bachelor's degree,Construction Technology
A1GTYHV8OYQQLV,74,male,Vocational qualification,Business Administration
A1H5Q9HRH4RPZU,39,male,Secondary education,Engineering
A1HK32MD7F0B7F,35,male,Master's degree,Economics
A1I72NHC21347A,57,female,Vocational qualification,Business Administration
A1I7H6RDJS4EKN,66,male,Secondary education,General
A1IKWVZZ26QTLU,41,female,Bachelor's degree,Information Technology
A1INL9RS5TI9QB,40,male,Vocational qualification,Manufacturing Engineering
A1KMEBRRTN67LP,38,male,Bachelor's degree,Education
A1LXRSAKIRA39J,39,male,Master's degree,Accountancy
A1N3YG2X9SO4PN,32,male,Secondary education,General
A1N8TKTLXV92QR,61,male,Master's degree,Engineering
A1NIKHUA79SWGD,28,male,Secondary education,General
A1NIRVMGT004CC,55,male,Bachelor's degree,Computer Applications
A1NQOR4RQJJDMW,27,female,GED,Technology
A1NRWXWPCAXDYP,27,male,Secondary education,General
A1NYI79LUIBOTP,27,male,Master's degree,Marketing
A1O67YS3DU0ZHX,38,female,GED,General
A1OZPLHNIU1519,58,male,Secondary education,General
A1P9ZZAW0TMNTR,30,male,Bachelor's degree,Construction Technology
A1PBRKFHSF1OF8,36,female,Bachelor's degree,Business Administration
A1PHDT66U6IK4Q,68,male,Bachelor's degree,Engineering
A1PMZUBGXFANCI,29,male,Secondary education,Computer Information Systems
A1PTX4IB9R34LI,40,male,Bachelor's degree,Business Administration
A1Q6VY3C3CEOA0,48,male,Bachelor's degree,Music
A1QCUR2Z75LS5N,31,female,Bachelor's degree,Information Technology
A1QKIA8XRNEXIG,39,female,Vocational qualification,Biomedical Science
A1QMJNJ5FGC09,23,male,Bachelor's degree,Computer Applications
